"drug_name","strength","unit","form","default_route","aliases","category","usual_frequencies","default_dose","max_dose","notes"
"ADRENALINE EPINEPHRINE","1 mg/1 mL","mg","Solution","","Adrenaline (base) 1mg/1ml (1 in 1,000) solution for injection ampoules; Adrenaline (base) 1mg/1ml (1 in 1,000) solution for injection pre-filled syringes; Adrenaline (base) for anaphylaxis 1mg/1ml (1 in 1,000) solution for injection pre-filled syringes","","","","",""
"ADRENALINE EPINEPHRINE","1 mg/10 mL","mg","Solution","","Adrenaline (base) 1mg/10ml (1 in 10,000) dilute solution for injection ampoules; Adrenaline (base) 1mg/10ml (1 in 10,000) dilute solution for injection pre-filled syringes","","","","",""
"ADRENALINE EPINEPHRINE","1 mL","mL","Solution","","Adrenaline (base) 100micrograms/1ml (1 in 10,000) dilute solution for injection ampoules","","","","",""
"ADRENALINE EPINEPHRINE","10 mg/10 mL","mg","Solution","","Adrenaline (base) 10mg/10ml (1 in 1,000) solution for injection ampoules","","","","",""
"ADRENALINE EPINEPHRINE","5 mg/5 mL","mg","Solution","","Adrenaline (base) 5mg/5ml (1 in 1,000) solution for injection ampoules","","","","",""
"ADRENALINE EPINEPHRINE","5 mL","mL","Solution","","Adrenaline (base) 500micrograms/5ml (1 in 10,000) dilute solution for injection ampoules","","","","",""
"ADRENALINE WITH ARTICAINE HYDROCHLORIDE","2.2 mL","mL","Solution","","Septanest 1 in 200,000 solution for injection 2.2ml cartridges; Anestadent 4% and 1:100,000 solution for injection 2.2ml cartridges; Septanest 1 in 100,000 solution for injection 2.2ml cartridges","","","","",""
"AFATINIB SPECIALIST DRUG","20 mg","mg","Tablets","Oral","Giotrif 20mg tablets","","","","",""
"AFATINIB SPECIALIST DRUG","30 mg","mg","Tablets","Oral","Giotrif 30mg tablets","","","","",""
"AFATINIB SPECIALIST DRUG","40 mg","mg","Tablets","Oral","Giotrif 40mg tablets","","","","",""
"AFLIBERCEPT SPECIALIST DRUG","100 mg/4 mL","mg","Solution","","Zaltrap 100mg/4ml concentrate for solution for infusion vials","","","","",""
"AFLIBERCEPT SPECIALIST DRUG","21 mg","mg","Solution","","Eylea 21mg/184microlitres solution for injection pre-filled syringes","","","","",""
"AFLIBERCEPT SPECIALIST DRUG","3.6 mg","mg","Solution","","Eydenzelt 3.6mg/90microlitres solution for injection pre-filled syringes; Eylea 3.6mg/90microlitres solution for injection pre-filled syringes; Mynzepli 3.6mg/90microlitres solution for injection pre-filled syringes; Yesafili 3.6mg/90microlitres solution for injection pre-filled syringes","","","","",""
"AFLIBERCEPT SPECIALIST DRUG","30.1 mg","mg","Solution","","Eylea 30.1mg/263microlitres solution for injection vials","","","","",""
"AFLIBERCEPT SPECIALIST DRUG","4 mg","mg","Solution","","Eylea 4mg/100microlitres solution for injection vials","","","","",""
"AFLIBERCEPT SPECIALIST DRUG","6.6 mg","mg","Solution","","Afqlir 6.6mg/165microlitres solution for injection pre-filled syringes; Vgenfli 6.6mg/165microlitres solution for injection pre-filled syringes","","","","",""
"AGALSIDASE ALFA","3.5 mg/3.5 mL","mg","Solution","","Replagal 3.5mg/3.5ml solution for infusion vials","","","","",""
"AGALSIDASE BETA","35 mg","mg","Powder","","Fabrazyme 35mg powder for concentrate for solution for infusion vials","","","","",""
"AGALSIDASE BETA","5 mg","mg","Powder","","Fabrazyme 5mg powder for concentrate for solution for infusion vials","","","","",""
"AGOMELATINE","25 mg","mg","Tablets","Oral","Agomelatine 25mg tablets; Valdoxan 25mg tablets","","","","",""
"ALBENDAZOLE","200 mg","mg","Tablets","Oral","Zentel 200mg chewable tablets","","","","",""
"ALBENDAZOLE","400 mg","mg","Tablets","Oral","Eskazole 400mg tablets; Zentel 400mg chewable tablets","","","","",""
"ALBUMIN SOLUTION","100 mL","mL","Solution","","Albunorm 5% solution for infusion 100ml bottles; Albunorm 20% solution for infusion 100ml bottles; Alburex 20% solution for infusion 100ml vials; Human Albumin Biotest 20% solution for infusion 100ml vials; Human Albumin Grifols 20% solution for infusion 100ml vials; Octalbin 20% solution for infusion 100ml bottles; Zenalb 20% solution for infusion 100ml bottles","","","","",""
"ALBUMIN SOLUTION","250 mL","mL","Solution","","Zenalb 4.5% solution for infusion 250ml bottles; Albunorm 5% solution for infusion 250ml bottles; Human Albumin Biotest 5% solution for infusion 250ml vials; Human Albumin Grifols 5% solution for infusion 250ml bottles; Octalbin 5% solution for infusion 250ml bottles","","","","",""
"ALBUMIN SOLUTION","50 mL","mL","Solution","","Albunorm 20% solution for infusion 50ml bottles; Human Albumin Biotest 20% solution for infusion 50ml vials; Human Albumin Grifols 20% solution for infusion 50ml vials; Zenalb 20% solution for infusion 50ml bottles","","","","",""
"ALBUMIN SOLUTION","500 mL","mL","Solution","","Zenalb 4.5% solution for infusion 500ml bottles; Albunorm 5% solution for infusion 500ml bottles; Alburex 5% solution for infusion 500ml vials; Human Albumin Grifols 5% solution for infusion 500ml bottles; Octalbin 5% solution for infusion 500ml bottles","","","","",""
"ALDESLEUKIN SPECIALIST DRUG","","","Powder","","Proleukin 18million unit powder for solution for injection vials","","","","",""
"ALECTINIB SPECIALIST DRUG","150 mg","mg","Capsules","Oral","Alecensa 150mg capsules","","","","",""
"ALEMTUZUMAB","12 mg/1.2 mL","mg","Solution","","Lemtrada 12mg/1.2ml concentrate for solution for infusion vials","","","","",""
"ALENDRONIC ACID","70 mg","mg","Tablets","Oral","Alendronic acid 70mg tablets; Fosamax Once Weekly 70mg tablets; Binosto 70mg effervescent tablets","","Once weekly","70","",""
"ALENDRONIC ACID","70 mg/100 mL","mg","Oral Solution","Oral","Alendronic acid 70mg/100ml oral solution unit dose sugar free","","","","",""
"ALENDRONIC ACID WITH COLECALCIFEROL","","","Tablets","Oral","Fosavance tablets","","","","",""
"ALFACALCIDOL","","","Capsules","Oral","AlfaD 0.25microgram capsules; Alfacalcidol 250nanogram capsules; One-Alpha 250nanogram capsules; AlfaD 0.5microgram capsules; Alfacalcidol 500nanogram capsules; One-Alpha 0.5microgram capsules; AlfaD 1microgram capsules; Alfacalcidol 1microgram capsules; One-Alpha 1microgram capsules","","","","",""
"ALFACALCIDOL","","","Drops","Ophthalmic/Otic","One-Alpha 2micrograms/ml oral drops","","","","",""
"ALFACALCIDOL","","","Gel","Topical","AlciDol 0.25microgram softgel capsules; AlciDol 0.5microgram softgel capsules; AlciDol 1microgram softgel capsules","","","","",""
"ALFACALCIDOL","0.5 mL","mL","Solution","","One-Alpha 1micrograms/0.5ml solution for injection ampoules","","","","",""
"ALFACALCIDOL","1 mL","mL","Solution","","One-Alpha 2micrograms/1ml solution for injection ampoules","","","","",""
"ALFACALCIDOL","250 nanograms","","Capsules","Oral","","","Each morning","250","",""
"ALFACALCIDOL","500 nanograms","","Capsules","Oral","","","Each morning","500","",""
"ALFENTANIL","1 mg/2 mL","mg","Solution","","Alfentanil 1mg/2ml solution for injection ampoules; Rapifen 1mg/2ml solution for injection ampoules","","","","",""
"ALFENTANIL","25 mg/50 mL","mg","Solution","","Alfentanil 25mg/50ml solution for injection vials","","","","",""
"ALFENTANIL","5 mg/1 mL","mg","Solution","","Alfentanil 5mg/1ml solution for injection ampoules; Rapifen Intensive Care 5mg/1ml solution for injection ampoules","","","","",""
"ALFENTANIL","5 mg/10 mL","mg","Solution","","Alfentanil 5mg/10ml solution for injection ampoules; Rapifen 5mg/10ml solution for injection ampoules","","","","",""
"ALFUZOSIN HYDROCHLORIDE","10 mg","mg","Modified Release Tablets","Oral","Besavar XL 10mg tablets; Fuzatal XL 10mg tablets; Vasran XL 10mg tablets; Xatral XL 10mg tablets","","","","",""
"ALFUZOSIN HYDROCHLORIDE","10 mg","mg","Tablets","Oral","Zochek 10mg modified-release tablets","","","","",""
"ALFUZOSIN HYDROCHLORIDE","2.5 mg","mg","Tablets","Oral","Alfuzosin 2.5mg tablets","","","","",""
"ALGINIC ACID","","","Powder","","Gaviscon Infant oral powder sachets","","","","",""
"ALGLUCOSIDASE ALFA","50 mg","mg","Powder","","Myozyme 50mg powder for concentrate for solution for infusion vials","","","","",""
"ALIMEMAZINE TARTRATE","10 mg","mg","Tablets","Oral","Alimemazine 10mg tablets","","","","",""
"ALIMEMAZINE TARTRATE","10 mg/5 mL","mg","Oral Solution","Oral","Alimemazine 10mg/5ml oral solution sugar free","","","","",""
"ALIMEMAZINE TARTRATE","30 mg/5 mL","mg","Oral Solution","Oral","Alimemazine 30mg/5ml oral solution; Alimemazine 30mg/5ml oral solution sugar free; Itzenal 30mg/5ml oral solution sugar free","","","","",""
"ALIMEMAZINE TARTRATE","30 mg/5 mL","mg","Syrup","Oral","Alfresed 30mg/5ml syrup","","","","",""
"ALIMEMAZINE TARTRATE","7.5 mg/5 mL","mg","Oral Solution","Oral","Alimemazine 7.5mg/5ml oral solution; Alimemazine 7.5mg/5ml oral solution sugar free; Itzenal 7.5mg/5ml oral solution sugar free","","","","",""
"ALIMEMAZINE TARTRATE","7.5 mg/5 mL","mg","Syrup","Oral","Alfresed 7.5mg/5ml syrup","","","","",""
"ALIROCUMAB","150 mg/1 mL","mg","Solution","","Praluent 150mg/1ml solution for injection pre-filled pens","","","","",""
"ALIROCUMAB","300 mg/2 mL","mg","Solution","","Praluent 300mg/2ml solution for injection pre-filled pens","","","","",""
"ALIROCUMAB","75 mg/1 mL","mg","Solution","","Praluent 75mg/1ml solution for injection pre-filled pens","","","","",""
"ALITRETINOIN","10 mg","mg","Capsules","Oral","Alitretinoin 10mg capsules; Toctino 10mg capsules","","","","",""
"ALITRETINOIN","30 mg","mg","Capsules","Oral","Alitretinoin 30mg capsules; Toctino 30mg capsules","","","","",""
"ALLOPURINOL","100 mg","mg","Tablets","Oral","Allopurinol 100mg tablets; Zyloric 100mg tablets","","Each morning","100","",""
"ALLOPURINOL","200 mg","mg","Tablets","Oral","Allopurinol 200mg tablets","","","","",""
"ALLOPURINOL","300 mg","mg","Tablets","Oral","Allopurinol 300mg tablets; Zyloric 300mg tablets","","Each morning","300","",""
"ALMOND OIL","","","","","Almond oil liquid","","","","",""
"ALMOTRIPTAN","12.5 mg","mg","Tablets","Oral","Almotriptan 12.5mg tablets","","","","",""
"ALOGLIPTIN","12.5 mg","mg","Tablets","Oral","Alogliptin 12.5mg tablets","","","","",""
"ALOGLIPTIN","25 mg","mg","Tablets","Oral","Alogliptin 25mg tablets","","","","",""
"ALOGLIPTIN","6.25 mg","mg","Tablets","Oral","Alogliptin 6.25mg tablets","","","","",""
"ALOGLIPTIN WITH METFORMIN","12.5 mg","mg","Tablets","Oral","Alogliptin 12.5mg / Metformin 1g tablets","","","","",""
"ALPELISIB SPECIALIST DRUG","150 mg","mg","Tablets","Oral","Piqray 150mg tablets","","","","",""
"ALPELISIB SPECIALIST DRUG","200 mg","mg","Tablets","Oral","Piqray 200mg tablets","","","","",""
"ALPELISIB SPECIALIST DRUG","50 mg","mg","Tablets","Oral","Piqray 50mg tablets","","","","",""
"ALPHA TOCOPHEROL","50 mg","mg","Oral Solution","Oral","Vedrop 50mg/ml oral solution","","","","",""
"ALPHA TOCOPHERYL ACETATE","","","Capsules","Oral","AlphaToc-E 75unit capsules; E-Caps 75unit capsules; Nutra-E 75unit capsules; Vita-E 75unit capsules; E-Caps 100unit capsules; Valupak Vitamin E 100unit capsules; AlphaToc-E 200unit capsules; E-Caps 200unit capsules; HealthAid Natural Vitamin E 200unit capsules; Nutra-E 200unit capsules; Power Health Vitamin E 200unit capsules; Premier Vitamin E 200unit capsules; Solgar Natural Vitamin E 200unit capsules; Vita-E 200unit capsules; Lamberts Natural Vitamin E 250unit capsules; AlphaToc-E 400unit capsules; E-Caps 400unit capsules; G & G Natural Vitamin E 400unit capsules; HealthAid Natural Vitamin E 400unit capsules; Lamberts Natural Vitamin E 400unit capsules; Nutra-E 400unit capsules; Premier Vitamin E 400unit capsules; Solgar Natural Vitamin E 400unit capsules; Tesco Vitamin E One A Day 400unit capsules; Valupak Vitamin E 400unit capsules; Vita-E 400unit capsules; Vitamin E 400unit capsules; HealthAid Natural Vitamin E 600unit capsules; Superdrug Natural Source Vitamin E 600unit capsules; E-Caps 1,000unit capsules; HealthAid Natural Vitamin E 1,000unit capsules; Solgar Natural Vitamin E 1,000unit capsules","","","","",""
"ALPHA TOCOPHERYL ACETATE","","","Gel","Topical","Natures Aid Natural Vitamin E 200unit softgels capsules; Natures Aid Natural Vitamin E 400unit softgels capsules; Natures Aid Natural Vitamin E 1,000unit softgels capsules","","","","",""
"ALPHA TOCOPHERYL ACETATE","100 mg","mg","Tablets","Oral","Alpha-E 100mg chewable tablets; AlphaToc-E 100mg chewable tablets; E-Tabs 100mg chewable tablets; Ephynal 100mg chewable tablets","","","","",""
"ALPHA TOCOPHERYL ACETATE","500 mg/5 mL","mg","Oral Suspension","Oral","Alpha tocopheryl acetate 500mg/5ml oral suspension; AlphaToc-E 500mg/5ml oral suspension; Liqua-E 500mg/5ml oral suspension","","","","",""
"ALPHA1 PROTEINASE INHIBITOR","1000 mg","mg","Powder","","Respreeza 1000mg powder and solvent for solution for infusion vials","","","","",""
"ALPRAZOLAM","","","Tablets","Oral","Xanax 250microgram tablets; Xanax 500microgram tablets","","","","",""
"ALPROSTADIL","","","","","Muse 500microgram urethral sticks; Muse 1000microgram urethral sticks","","","","",""
"ALPROSTADIL","","","Powder","","Alprostadil 10microgram powder and solvent for solution for injection vials; Caverject Dual Chamber 10microgram powder and solvent for solution for injection; Viridal Duo Starter Pack 10microgram powder and solvent for solution for injection cartridges with device; Alprostadil 20microgram powder and solvent for solution for injection vials; Caverject Dual Chamber 20microgram powder and solvent for solution for injection; Viridal Duo Starter Pack 20microgram powder and solvent for solution for injection cartridges with device; Viridal Duo Starter Pack 40microgram powder and solvent for solution for injection cartridges with device","","","","",""
"ALPROSTADIL","3 mg","mg","Cream","Topical","Vitaros 3mg/g cream","","","","",""
"ALTEPLASE","10 mg","mg","Powder","","Actilyse 10mg powder and solvent for solution for injection vials","","","","",""
"ALTEPLASE","20 mg","mg","Powder","","Actilyse 20mg powder and solvent for solution for injection vials","","","","",""
"ALTEPLASE","50 mg","mg","Powder","","Actilyse 50mg powder and solvent for solution for infusion vials","","","","",""
"ALUMINIUM ACETATE","","","Spray","","Otinova ear spray","","","","",""
"ALUMINIUM CHLORIDE HEXAHYDRATE","","","Solution","","Anhydrol Forte 20% solution; Driclor 20% solution","","","","",""
"ALVERINE CITRATE","120 mg","mg","Capsules","Oral","Alverine 120mg capsules","","","","",""
"ALVERINE CITRATE","60 mg","mg","Capsules","Oral","Alverine 60mg capsules","","","","",""
"ALVERINE WITH SIMETICONE","60 mg/300 mg","mg","Capsules","Oral","SimAlvia 60mg/300mg capsules","","","","",""
"AMANTADINE HYDROCHLORIDE","100 mg","mg","Capsules","Oral","Amantadine 100mg capsules","","","","",""
"AMANTADINE HYDROCHLORIDE","50 mg/5 mL","mg","Oral Solution","Oral","Amantadine 50mg/5ml oral solution sugar free; Trilasym 50mg/5ml oral solution","","","","",""
"AMBRISENTAN","10 mg","mg","Tablets","Oral","Ambrisentan 10mg tablets; Volibris 10mg tablets","","","","",""
"AMBRISENTAN","2.5 mg","mg","Tablets","Oral","Volibris 2.5mg tablets","","","","",""
"AMBRISENTAN","5 mg","mg","Tablets","Oral","Ambrisentan 5mg tablets; Volibris 5mg tablets","","","","",""
"AMIFAMPRIDINE","10 mg","mg","Tablets","Oral","Amifampridine 10mg tablets; Firdapse 10mg tablets","","","","",""
"AMIKACIN","100 mg/2 mL","mg","Solution","","Amikin 100mg/2ml solution for injection vials","","","","",""
"AMIKACIN","500 mg/2 mL","mg","Solution","","Amikacin 500mg/2ml solution for injection ampoules; Amikacin 500mg/2ml solution for injection vials","","","","",""
"AMIKACIN","590 mg","mg","","","Arikayce liposomal 590mg nebuliser dispersion vials with Lamira Nebuliser Handset","","","","",""
"AMILORIDE HYDROCHLORIDE","5 mg","mg","Tablets","Oral","Amiloride 5mg tablets","","","","",""
"AMILORIDE HYDROCHLORIDE","5 mg/5 mL","mg","Oral Solution","Oral","Amiloride 5mg/5ml oral solution sugar free","","","","",""
"AMILORIDE WITH BUMETANIDE","5 mg","mg","Tablets","Oral","Amiloride 5mg / Bumetanide 1mg tablets","","","","",""
"AMINOPHYLLINE","250 mg/10 mL","mg","Solution","","Aminophylline 250mg/10ml solution for injection ampoules","","","","",""
"AMIODARONE","200 mg","mg","Tablets","Oral","","","Each morning","200","",""
"AMIODARONE HYDROCHLORIDE","100 mg","mg","Tablets","Oral","Amiodarone 100mg tablets","","","","",""
"AMIODARONE HYDROCHLORIDE","150 mg/3 mL","mg","Solution","","Amiodarone 150mg/3ml concentrate for solution for injection ampoules","","","","",""
"AMIODARONE HYDROCHLORIDE","200 mg","mg","Tablets","Oral","Amiodarone 200mg tablets","","","","",""
"AMIODARONE HYDROCHLORIDE","300 mg/10 mL","mg","Solution","","Amiodarone 300mg/10ml solution for injection pre-filled syringes","","","","",""
"AMISULPRIDE","100 mg","mg","Oral Solution","Oral","Amisulpride 100mg/ml oral solution sugar free","","","","",""
"AMISULPRIDE","100 mg","mg","Tablets","Oral","Amisulpride 100mg tablets","","","","",""
"AMISULPRIDE","200 mg","mg","Tablets","Oral","Amisulpride 200mg tablets","","","","",""
"AMISULPRIDE","400 mg","mg","Tablets","Oral","Amisulpride 400mg tablets","","","","",""
"AMISULPRIDE","50 mg","mg","Tablets","Oral","Amisulpride 50mg tablets","","","","",""
"AMITRIPTYLINE","10 mg","mg","Tablets","Oral","","","Each night","10","",""
"AMITRIPTYLINE","25 mg","mg","Tablets","Oral","","","Each night","25","",""
"AMITRIPTYLINE","50 mg","mg","Tablets","Oral","","","Each night","50","",""
